case,cvc,pcvc
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn203.smt2,228,212
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl776.smt2,92,78
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl652.smt2,124,153
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl617.smt2,111,105
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn061.smt2,56,74
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn095.smt2,56,75
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl511.smt2,86,114
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl832.smt2,1504,1935
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn973.smt2,104,117
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn008.smt2,31,50
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn1022.smt2,108,153
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl530.smt2,238,307
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl034.smt2,35,49
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl609.smt2,122,144
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn1060.smt2,62,71
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl115.smt2,67,97
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn971.smt2,101,125
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn945.smt2,324,448
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_icl310.smt2,55,99
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/iso_brn020.smt2,93,109
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_brn1157.smt2,114,149
/home/cxcfan/dev/testbench/smt/bm/QF_UF/QG-classification/qg5/gensys_icl792.smt2,241,310
